Chunk Size,Array Size,Time (ms)
1,100,6
1,200,0.2
1,300,0.2
1,400,0.6
1,500,0.9
1,600,0.7
1,700,1
1,800,1
1,900,1
1,1000,2
5,100,7
5,200,0.4
5,300,0.5
5,400,1
5,500,0.7
5,600,0.8
5,700,1
5,800,1
5,900,1
5,1000,2
10,100,1
10,200,1
10,300,2
10,400,3
10,500,3
10,600,5
10,700,5
10,800,5
10,900,5
10,1000,8
20,100,9
20,200,11
20,300,17
20,400,22
20,500,23
20,600,27
20,700,25
20,800,35
20,900,38
20,1000,48
50,100,167
50,200,27
50,300,37
50,400,41
50,500,59
50,600,69
50,700,82
50,800,67
50,900,92
50,1000,112
100,100,755
100,200,239
100,300,254
100,400,314
100,500,338
100,600,537
100,700,535
100,800,564
100,900,649
100,1000,685
200,100,260
200,200,3117
200,300,3040
200,400,4097
200,500,4106
200,600,6027
200,700,5543
200,800,4201
200,900,6608
200,1000,5459
300,100,211
300,200,3572
300,300,15998
300,400,18365
300,500,18274
300,600,24926
300,700,27809
300,800,23720
300,900,30143
300,1000,24804
500,100,200
500,200,4106
500,300,19347
500,400,65372
500,500,204923
500,600,177420
500,700,168734
500,800,173840
500,900,180990
500,1000,194438
